# x y z tau_x tau_y tau_z
0.044036753535 -0.0254 0 0.0379913 -0.000698815 0
0.044907514625 -0.0254 0 0.0392317 -0.00069806 1.6788e-21
0.04578504565 -0.0254 0 0.0404544 -0.000693984 0
0.04666939924 -0.0254 0 0.0417084 -0.000687955 0
0.047560628435 -0.0254 0 0.0429584 -0.000679193 -1.67594e-21
0.048458786695 -0.0254 0 0.0442243 -0.000668723 -1.67532e-21
0.049363927895 -0.0254 0 0.0454878 -0.000657979 0
0.050276106325 -0.0254 0 0.0467559 -0.000648976 1.67358e-21
0.05119537669 -0.0254 0 0.0480196 -0.000640627 -1.67261e-21
0.052121794135 -0.0254 0 0.0492816 -0.000632107 0
0.053055414225 -0.0254 0 0.0505367 -0.000623111 1.67048e-21
0.053996292955 -0.0254 0 0.0517847 -0.000613617 0
0.054944486765 -0.0254 0 0.0530227 -0.000603078 0
0.05590005252 -0.0254 0 0.0542505 -0.000590658 -1.66613e-21
0.05686304754 -0.0254 0 0.0554652 -0.000576536 0
0.05783352959 -0.0254 0 0.0566662 -0.000561233 1.6621e-21
0.058811556875 -0.0254 0 0.0578499 -0.000545001 0
0.059797188055 -0.0254 0 0.0590154 -0.000527978 -1.65685e-21
0.06079048225 -0.0254 0 0.0601602 -0.000510272 -1.6537e-21
0.061791499035 -0.0254 0 0.0612835 -0.000491887 -1.65017e-21
0.062800298455 -0.0254 0 0.0623821 -0.000472976 -3.29242e-21
0.06381694102 -0.0254 0 0.0634562 -0.00045347 3.28363e-21
0.0648414877 -0.0254 0 0.0645021 -0.000433518 0
0.065873999955 -0.0254 0 0.0655199 -0.000412954 0
0.066914539715 -0.0254 0 0.0665062 -0.000391815 0
0.067963169385 -0.0254 0 0.0674604 -0.000370281 3.23836e-21
0.069019951865 -0.0254 0 0.0683812 -0.000348064 3.22424e-21
0.070084950545 -0.0254 0 0.0692674 -0.000325439 -3.20892e-21
0.071158229305 -0.0254 0 0.0701171 -0.000302263 0
0.07223985251 -0.0254 0 0.0709288 -0.000278651 3.17428e-21
0.07332988504 -0.0254 0 0.0717009 -0.000254562 3.15488e-21
0.074428392285 -0.0254 0 0.0724318 -0.000230062 3.13398e-21
0.075535440125 -0.0254 0 0.0731205 -0.000205135 0
0.07665109496 -0.0254 0 0.0737653 -0.000179792 0
0.077775423705 -0.0254 0 0.0743654 -0.000154046 0
0.0789084938 -0.0254 0 0.0749203 -0.000127809 3.03452e-21
0.080050373215 -0.0254 0 0.07543 -0.000101119 0
0.08120113043 -0.0254 0 0.0758955 -7.38423e-05 0
0.082360834465 -0.0254 0 0.0763192 -4.59205e-05 -2.94156e-21
0.08352955489 -0.0254 0 0.0766937 -1.77219e-05 0
0.0847073618 -0.0254 0 0.0770184 9.09061e-06 0
0.085894325835 -0.0254 0 0.0772929 3.23977e-05 -2.82895e-21
0.087090518195 -0.0254 0 0.0775209 5.89613e-05 0
0.088296010625 -0.0254 0 0.0776968 8.41838e-05 0
0.08951087543 -0.0254 0 0.0778221 0.000109196 2.69571e-21
0.09073518548 -0.0254 0 0.0778961 0.000133694 2.64671e-21
0.09196901421 -0.0254 0 0.0779191 0.000157721 0
0.093212435625 -0.0254 0 0.0778904 0.000181306 -2.5418e-21
0.094465524305 -0.0254 0 0.0778115 0.000204552 0
0.09572835541 -0.0254 0 0.0776816 0.000227224 2.42746e-21
0.09700100468 -0.0254 0 0.0775015 0.000249538 0
0.098283548455 -0.0254 0 0.0772707 0.000271247 2.30367e-21
0.099576063675 -0.0254 0 0.0769909 0.000292592 2.23823e-21
0.10087862785 -0.0254 0 0.0766617 0.00031337 0
0.1021913191 -0.0254 0 0.0762844 0.000333805 0
0.10351421615 -0.0254 0 0.0758583 0.000353707 0
0.10484739835 -0.0254 0 0.0753843 0.000373199 0
0.1061909457 -0.0254 0 0.0748629 0.000392184 0
0.1075449388 -0.0254 0 0.0742946 0.000410795 0
0.1089094588 -0.0254 0 0.0736801 0.000428998 0
0.11028458755 -0.0254 0 0.0730204 0.00044689 1.62848e-21
0.1116704076 -0.0254 0 0.0723158 0.000464441 -1.54121e-21
0.113067002 -0.0254 0 0.0715672 0.000481659 0
0.1144744545 -0.0254 0 0.0707748 0.000498571 0
0.1158928496 -0.0254 0 0.0699392 0.000515123 0
0.11732227235 -0.0254 0 0.0690609 0.000531397 0
0.1187628085 -0.0254 0 0.0681417 0.000547298 -2.1284e-21
0.1202145444 -0.0254 0 0.0671859 0.000562955 0
0.12167756715 -0.0254 0 0.0661926 0.000578261 1.70583e-21
0.1231519645 -0.0254 0 0.0651468 0.000593188 -1.4845e-21
0.12463782485 -0.0254 0 0.0640731 0.000607793 0
0.1261352374 -0.0254 0 0.062958 0.000622091 0
0.12764429195 -0.0254 0 0.0618095 0.000635983 0
0.129165079 -0.0254 0 0.0606262 0.000649578 5.29756e-22
0.1306976897 -0.0254 0 0.0594122 0.000662809 2.72184e-22
0.13224221605 -0.0254 0 0.0581666 0.000675613 0
0.1337987507 -0.0254 0 0.0568889 0.000687863 -2.67623e-22
0.13536738695 -0.0254 0 0.0555823 0.000699614 -5.50464e-22
0.13694821895 -0.0254 0 0.0542486 0.000710835 8.42406e-22
0.1385413415 -0.0254 0 0.0528888 0.000721557 0
0.1401468501 -0.0254 0 0.0515049 0.000731729 0
0.1417648411 -0.0254 0 0.0500983 0.000741388 1.77674e-21
0.1433954116 -0.0254 0 0.0486703 0.000750518 0
0.1450386593 -0.0254 0 0.0472229 0.000759146 0
0.1466946828 -0.0254 0 0.045757 0.000767309 0
0.14836358145 -0.0254 0 0.0442751 0.000775022 0
0.1500454553 -0.0254 0 0.042778 0.000782354 -3.55754e-21
0.1517404053 -0.0254 0 0.0412676 0.000789312 -3.95252e-21
0.15344853305 -0.0254 0 0.0397446 0.000795882 0
0.15516994105 -0.0254 0 0.0382113 0.00080217 -4.78754e-21
0.15690473255 -0.0254 0 0.0366677 0.000808079 0
0.15865301155 -0.0254 0 0.0351172 0.000813775 0
0.16041488295 -0.0254 0 0.0335601 0.000819298 -6.1681e-21
0.1621904524 -0.0254 0 0.0319978 0.000824645 0
0.16397982645 -0.0254 0 0.0304323 0.000830143 -7.18892e-21
0.1657831124 -0.0254 0 0.0288641 0.000835862 0
0.1676004184 -0.0254 0 0.0272949 0.000842058 0
0.16943185345 -0.0254 0 0.0257247 0.000848956 -8.90613e-21
0.1712775274 -0.0254 0 0.0241543 0.000856774 0
0.173137551 -0.0254 0 0.0225836 0.000865771 -1.02039e-20
0.1750120358 -0.0254 0 0.0210127 0.000876183 0
0.1769010942 -0.0254 0 0.0194414 0.000888303 0
0.17880483945 -0.0254 0 0.0178697 0.000902484 0
0.1807233858 -0.0254 0 0.0162974 0.000919343 1.33e-20
0.1826568484 -0.0254 0 0.0147246 0.000939839 0
0.18460534315 -0.0254 0 0.013151 0.000965847 -1.51871e-20
0.1865689869 -0.0254 0 0.0115755 0.00100114 0
0.18854789745 -0.0254 0 0.00999693 0.00105305 0
0.19054219345 -0.0254 0 0.00841077 0.00112809 0
0.19255199455 -0.0254 0 0.0067776 0.00120088 0
0.19457742135 -0.0254 0 0.00519384 0.00118549 0
0.1966185953 -0.0254 0 0.00364649 0.00116435 0
0.1986756388 -0.0254 0 0.00212116 0.00114872 0
0.2007486753 -0.0254 0 0.000678804 0.00115077 5.40886e-20
