#     point_x       point_y       point_z
    0.0760911       -0.0254        0.0005
    0.0772111       -0.0254       -0.0005
    0.0772111       -0.0254        0.0005
    0.0783398       -0.0254       -0.0005
    0.0783398       -0.0254        0.0005
    0.0794772       -0.0254       -0.0005
    0.0794772       -0.0254        0.0005
    0.0806235       -0.0254       -0.0005
    0.0806235       -0.0254        0.0005
    0.0817787       -0.0254       -0.0005
    0.0817787       -0.0254        0.0005
    0.0829429       -0.0254       -0.0005
    0.0829429       -0.0254        0.0005
    0.0841162       -0.0254       -0.0005
    0.0841162       -0.0254        0.0005
    0.0852985       -0.0254       -0.0005
    0.0852985       -0.0254        0.0005
    0.0864901       -0.0254       -0.0005
    0.0864901       -0.0254        0.0005
    0.0876909       -0.0254       -0.0005
    0.0876909       -0.0254        0.0005
    0.0889011       -0.0254       -0.0005
    0.0889011       -0.0254        0.0005
    0.0901207       -0.0254       -0.0005
    0.0901207       -0.0254        0.0005
    0.0913497       -0.0254       -0.0005
    0.0913497       -0.0254        0.0005
    0.0925883       -0.0254       -0.0005
    0.0925883       -0.0254        0.0005
    0.0938366       -0.0254       -0.0005
    0.0938366       -0.0254        0.0005
    0.0950945       -0.0254       -0.0005
    0.0950945       -0.0254        0.0005
    0.0963622       -0.0254       -0.0005
    0.0963622       -0.0254        0.0005
    0.0976398       -0.0254       -0.0005
    0.0976398       -0.0254        0.0005
    0.0989273       -0.0254       -0.0005
    0.0989273       -0.0254        0.0005
     0.100225       -0.0254       -0.0005
     0.100225       -0.0254        0.0005
     0.101532       -0.0254       -0.0005
     0.101532       -0.0254        0.0005
      0.10285       -0.0254       -0.0005
      0.10285       -0.0254        0.0005
     0.104178       -0.0254       -0.0005
     0.104178       -0.0254        0.0005
     0.105517       -0.0254       -0.0005
     0.105517       -0.0254        0.0005
     0.106865       -0.0254       -0.0005
     0.106865       -0.0254        0.0005
     0.108225       -0.0254       -0.0005
     0.108225       -0.0254        0.0005
     0.109594       -0.0254       -0.0005
     0.109594       -0.0254        0.0005
     0.110975       -0.0254       -0.0005
     0.110975       -0.0254        0.0005
     0.112366       -0.0254       -0.0005
     0.112366       -0.0254        0.0005
     0.113768       -0.0254       -0.0005
     0.113768       -0.0254        0.0005
     0.115181       -0.0254       -0.0005
     0.115181       -0.0254        0.0005
     0.116605       -0.0254       -0.0005
     0.116605       -0.0254        0.0005
      0.11804       -0.0254       -0.0005
      0.11804       -0.0254        0.0005
     0.119486       -0.0254       -0.0005
     0.119486       -0.0254        0.0005
     0.120943       -0.0254       -0.0005
     0.120943       -0.0254        0.0005
     0.122412       -0.0254       -0.0005
     0.122412       -0.0254        0.0005
     0.123892       -0.0254       -0.0005
     0.123892       -0.0254        0.0005
     0.125384       -0.0254       -0.0005
     0.125384       -0.0254        0.0005
     0.126887       -0.0254       -0.0005
     0.126887       -0.0254        0.0005
     0.128402       -0.0254       -0.0005
     0.128402       -0.0254        0.0005
     0.129928       -0.0254       -0.0005
     0.129928       -0.0254        0.0005
     0.131467       -0.0254       -0.0005
     0.131467       -0.0254        0.0005
     0.133017       -0.0254       -0.0005
     0.133017       -0.0254        0.0005
      0.13458       -0.0254       -0.0005
      0.13458       -0.0254        0.0005
     0.136155       -0.0254       -0.0005
     0.136155       -0.0254        0.0005
     0.137742       -0.0254       -0.0005
     0.137742       -0.0254        0.0005
     0.139341       -0.0254       -0.0005
     0.139341       -0.0254        0.0005
     0.140953       -0.0254       -0.0005
     0.140953       -0.0254        0.0005
     0.142577       -0.0254       -0.0005
     0.142577       -0.0254        0.0005
     0.144214       -0.0254       -0.0005
     0.144214       -0.0254        0.0005
     0.145863       -0.0254       -0.0005
     0.145863       -0.0254        0.0005
     0.147526       -0.0254       -0.0005
     0.147526       -0.0254        0.0005
     0.149201       -0.0254       -0.0005
     0.149201       -0.0254        0.0005
